nameid	commentaryid	name
0	900000	
1	900000	A. Abdallah
2	900000	A. Abqar
3	900000	A. Al Hassan
4	900000	A. Alarcón
5	900000	A. Alcaraz
6	900000	A. Alipour
7	900000	A. Almeida
8	900000	A. Almuqrin
9	900000	A. Alshanqiti
10	900000	A. Andersson
11	900000	A. Andrejevic
12	900000	A. Angulo
13	900000	A. Armstrong
14	900000	A. Asiri
15	900000	A. Bamba
16	900000	A. Benitez
17	900000	A. Blondell
18	900000	A. Bustos
19	900000	A. Butzke
20	900000	A. Cabeza
21	900000	A. Cabral
22	900000	A. Carboni
23	900000	A. Chopitea
24	900000	A. Corral
25	900000	A. Corzo
26	900000	A. Crespo
27	900000	A. Cruz
28	900000	A. Dabo
29	900000	A. Djaló
30	900000	A. Espino
31	900000	A. Faria
32	900000	A. Fatawu
33	900000	A. Fernandez
34	900000	A. Fernández
35	900000	A. Ferro
36	900000	A. Filipe
37	900000	A. Francis
38	900000	A. Franco
39	900000	A. Francés
40	900000	A. García
41	900000	A. Gomis
42	900000	A. Gonzalez
43	900000	A. Hamddan
44	900000	A. Hamit
45	900000	A. Hatem
46	900000	A. Hohberg
47	900000	A. Ibargüen
48	900000	A. Jones
49	900000	A. Keita
50	900000	A. Khamis
51	900000	A. Lajami
52	900000	A. Llinas
53	900000	A. Madu
54	900000	A. Marcos
55	900000	A. Martin
56	900000	A. Marí
57	900000	A. Medina
58	900000	A. Melendez
59	900000	A. Mina
60	900000	A. Mingueza
61	900000	A. Moleiro
62	900000	A. Moreira
63	900000	A. Moreno
64	900000	A. Mostafa
65	900000	A. Mumin
66	900000	A. Murphy
67	900000	A. Müller
68	900000	A. Nanclares
69	900000	A. Negredo
70	900000	A. Norton
71	900000	A. Nurali
72	900000	A. Nuñez
73	900000	A. Núñez
74	900000	A. Okene
75	900000	A. Pastor
76	900000	A. Pembele
77	900000	A. Perea
78	900000	A. Pereira
79	900000	A. Pereira Oliveira
80	900000	A. Peña
81	900000	A. Pop
82	900000	A. Preciado
83	900000	A. Pulido
84	900000	A. Rahim
85	900000	A. Ramsey
86	900000	A. Rebbach
87	900000	A. Rendon
88	900000	A. Rodas
89	900000	A. Rodriguez
90	900000	A. Rodríguez
91	900000	A. Sampedro
92	900000	A. Samuel
93	900000	A. Sanchez
94	900000	A. Sedlar
95	900000	A. Silva
96	900000	A. Succar
97	900000	A. Sánchez
98	900000	A. Talisca
99	900000	A. Tarazona
100	900000	A. Tejero
101	900000	A. Torrodà
102	900000	A. Toure
103	900000	A. Traore
104	900000	A. Traoré
105	900000	A. Trezza
106	900000	A. Vaquero
107	900000	A. Vera
108	900000	A. Vázquez
109	900000	A. Wharton
110	900000	A. Zendejas
111	900000	A. Zervandro
112	900000	A. Živković
113	900000	A.Abdu
114	900000	A.Aceves
115	900000	A.AlBukhari
116	900000	A.AlYousef
117	900000	A.Albishi
118	900000	A.Aldawsari
119	900000	A.Alfahad
120	900000	A.Alhajri
121	900000	A.Alharbi
122	900000	A.Alqahtani
123	900000	A.Alsalem
124	900000	A.Alti
125	900000	A.Ammar
126	900000	A.Atouchi
127	900000	A.Ayew
128	900000	A.Becker
129	900000	A.Bedrane
130	900000	A.Del Moral
131	900000	A.Espigares
132	900000	A.Fathy
133	900000	A.Ferrari
134	900000	A.Forés
135	900000	A.Gelardo
136	900000	A.Godínez
137	900000	A.Guardado
138	900000	A.Hamdi
139	900000	A.Hasson
140	900000	A.Hazazi
141	900000	A.Ivan
142	900000	A.J. Morales
143	900000	A.Johansson
144	900000	A.Kante
145	900000	A.Khateeb
146	900000	A.Luna
147	900000	A.M.Lo
148	900000	A.Majrashi
149	900000	A.Mendy
150	900000	A.Millán
151	900000	A.Musa
152	900000	A.Nahar
153	900000	A.Noor
154	900000	A.Oumar
155	900000	A.Pedraza
156	900000	A.Puertas
157	900000	A.Quintana
158	900000	A.Raillo
159	900000	A.Ramirez
160	900000	A.Remiro
161	900000	A.Rodriguez
162	900000	A.Sagat
163	900000	A.Semedo
164	900000	A.Sola
165	900000	A.Sosa
166	900000	A.Suhail
167	900000	A.Uludağ
168	900000	A.Valles
169	900000	A.Zain
170	900000	A.Çakar
171	900000	Aabid
172	900000	Aagard
173	900000	Aakash
174	900000	Aalto
175	900000	Aaltonen
176	900000	Aapo
177	900000	Aaren
178	900000	Aaro
179	900000	Aaron
